weekday,location,task,icons,start_string,end_string,class,start_row,end_row,row
Weekend,HTT,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""10:00""","""10:45""",spray_and_swap,5,8,3
Weekend,HTT,Wipe down,"('open.png', 'wipe.png')","""13:15""","""13:45""",wipe_down,18,20,4
Weekend,TH & PZ,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""10:45""","""11:30""",spray_and_swap,8,11,3
Weekend,TH & PZ,Wipe down,"('open.png', 'wipe.png')","""14:15""","""14:45""",wipe_down,22,24,4
Weekend,Around Town,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""11:30""","""12:15""",spray_and_swap,11,14,3
Weekend,Splash (TT - SS),Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""12:15""","""13:00""",spray_and_swap,14,17,3
Weekend,Moneypalooza,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""13:00""","""13:45""",spray_and_swap,17,20,3
Weekend,Ideaworks & Art Loft,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""13:45""","""14:30""",spray_and_swap,20,23,3
Weekend,P2P & STEMosphere,Wipe down,"('open.png', 'wipe.png')","""11:30""","""12:00""",wipe_down,11,13,4
Weekend,P2P & STEMosphere,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""14:30""","""15:15""",spray_and_swap,23,26,3
Weekend,Kid Grid & RPW,Wipe down,"('open.png', 'wipe.png')","""12:30""","""13:00""",wipe_down,15,17,4
Weekend,Kid Grid & RPW,Disinfect & Prop Swap,"('close.png', 'swap.png', 'spray.png')","""15:15""","""16:00""",spray_and_swap,26,29,3
